hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
KELT-17,A,7454,1.65,1.64,-0.018,0.876,4.22,0.65,0.518,9.234,8.646,9.20887,,
WASP-178,A,9360,1.67,2.07,0.21,1.215,4.31,0.43,0.62,9.946,9.703,9.91226,IV-V,
KELT-20,A,8720,1.56,1.76,-0.29,1.104,4.29,0.6,0.641,7.59,7.415,7.57492,V,2
HR 8799,A,7204.58,1.49,1.61,-0.65,0.733,4.3,0.03,0.68153,5.98,5.24,5.90914,,5
bet Pic,A,8038.68,1.54,1.76,-0.21,0.953,4.35,0.012,0.74666,3.85,3.526,3.82015,V,5
MASCARA-4,A,7800,1.92,1.75,0,1.087,4.1,0.8,0.355,8.191,7.75,8.17401,V,7
MASCARA-1,A,7554,2.1,1.72,0,1.176,4,1,0.33,8.28,7.74,8.24243,,8
HD 95086,A,7595,1.49,1.6,0.14,0.821,4.34,0.013,0.75944,7.36,6.789,7.30915,III,8
HAT-P-57,A,6330,1.85,2.77,-0.25,0.806,4.25,1,0.62,10.639,9.433,10.4253,V,8
KELT-21,A,7598,1.64,1.46,-0.405,0.905,4.17,1.6,0.468,10.484,10.09,10.5415,V,8
kap And,B,10900,2.31,2.6,-0.36,1.83,3.78,0.03,0.32158,4.13791,4.571,4.13478,IV-V,9
HIP 78530,B,10500,2.11,2.5,-0.5,1.368,4.13,0.005,0.32956,7.1691,6.903,7.14665,V,9
KELT-9,B,10170,2.36,2.52,-0.03,1.724,4.09,0.3,0.2702,7.55,7.482,7.57675,,9.5
HAT-P-4,F,5860,1.62,0.56,0.24,0.431,4.14,3.9,0.437,11.118,9.770001,11.0634,,
HATS-26,F,6071,2.04,1.3,-0.02,0.704,3.94,4.04,0.218,13.006,11.435,12.8431,,
K2-34,F,6071,1.44,1.15,0.03,0.4,4.18,2.88,0.675,11.447,10.193,11.4357,,
WASP-187,F,6150,2.83,1.54,0,0.967,3.72,2.55,0.096,10.295,8.79,10.1318,,
KELT-4 A,F,6206,1.6,1.2,-0.116,0.535,4.11,4.44,0.411,9.98,8.689,9.95702,,
TOI-150,F,6255,1.53,1.35,0.28,0.497,4.13,2.346,0.5332,11.39,9.94,11.3408,,
TOI-892,F,6261,1.39,1.28,0.24,0.431,4.26,2.2,0.482,11.43,10.106,11.3435,,
HATS-3,F,6351,1.4,1.21,-0.157,0.456,4.22,3.2,0.62,12.433,10.694,11.8914,,
HATS-12,F,6357,1.17,1.16,-0.1,0.863,4.36,2.36,0.269,12.831,11.391,12.6766,,
WASP-186,F,6361,1.47,1.22,-0.08,0.5,4.19,3.1,0.546,10.81,9.532,10.6509,,
PH1,F,6407,1.73,1.53,0.21,0.66,4.14,2,0.293,13.841,12.395,13.6988,,
Kepler-76,F,6409,1.32,1.2,-0.1,0.451,4.2,0.62,0.96729,13.474,12.092,13.2755,,
HATS-27,F,6438,1.74,1.42,0.09,0.669,4.11,2.3,0.379,12.782,11.55,12.6792,,
TOI-163,F,6495,1.65,1.44,0.22,0.636,4.19,1.823,0.4518,11.467,10.124,11.2193,,
KELT-7,F,6768,1.81,1.76,0,0.758,4.5,1.3,0.42,8.56,7.543,8.45173,,
HAT-P-49,F,6820,2.06,2.22,0.07,0.814,4.1,1.5,0.36,10.205,9.346,10.2071,,
