hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
11 Com,G,4742,19,2.7,-0.35,[Fe/H],2.243,2.31,,,III,8
11 UMi,K,4213,29.79,2.78,-0.02,[Fe/H],2.43,1.93,1.56,,III,4
14 And,K,4813,11,2.2,-0.24,[Fe/H],1.763,2.63,4.5,,III,0
14 Her,K,5338,0.93,0.9,0.41,[Fe/H],-0.153,4.45,3.9,1.27393,V,0
16 Cyg B,G,5750,1.13,1.08,0.06,[Fe/H],0.097,4.36,7.4,1.01103,V,3
18 Del,G,4979,8.5,2.3,-0.052,[Fe/H],1.602,2.82,1.1,,III,6
1RXS J160929.1-210524,K,4060,1.31,0.85,,,-0.37,4,0.005,0.38789,V,7
24 Boo,G,4893,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,IV,3
24 Sex,K,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,IV,0
2MASS J01225093-2439505,M,3530,0.37,0.4,,,-1.72,4.86,0.12,10.11868,V,3
2MASS J02192210-3925225,M,3064,0.28,0.11,,,-2.23,4.59,0.035,17.67076,V,6
2MASS J04414489+2301513,M,2936,0.23,0.02,,,-2.444,5.01,0.001,22.7811,V,8
2MASS J12073346-3932539,M,2825,0.22,0.02,,,-2.561,5.03,0.008,25.27945,V,8
2MASS J21402931+1625183 A,M,2300,0.12,0.08,,,-3.48,5.22,,63.55229,V,8
2MASS J22362452+4751425,K,4045,0.64,0.6,,,-1.021,4.62,0.12,3.36994,V,7
30 Ari B,F,6331,1.41,1.93,0.19,[Fe/H],0.381,4.43,0.91,0.743,V,6
4 UMa,K,4415,18.11,1.23,-0.25,[Fe/H],2.062,1.8,4.604,,III,1
42 Dra,K,4200,22.03,0.98,-0.46,[Fe/H],2.155,1.71,9.49,,III,1
47 UMa,G,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,V,0
51 Eri,F,7295,1.49,1.65,-0.027,[M/H],0.752,4.31,0.02,0.70712,IV,0
51 Peg,G,5758,1.18,1.03,0.18,[M/H],0.136,4.31,10,0.89374,V,5
55 Cnc,K,5172,0.94,0.91,0.35,[Fe/H],-0.197,4.43,5.5,1.41851,IV-V,0
6 Lyn,K,4938,5.2,1.44,-0.13,[Fe/H],1.176,3.19,2.353,,IV,0
61 Vir,G,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,V,5
7 CMa,K,4826,4.87,1.34,0.21,[Fe/H],1.063,3.19,4.3,,III,1
70 Vir,G,5495,1.89,1.09,-0.09,[Fe/H],0.451,3.95,7.77,0.19024,V,5
75 Cet,G,4846,10.5,2.49,0,[Fe/H],1.73,2.63,,,III,3
8 UMi,K,4847,10.3,1.44,-0.03,[Fe/H],1.725,2.57,1.7,,III,0
