pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,2008-01-01T01:00:00Z,Ground,Xinglong Station,2.16 m Telescope,0,326.03,1.29,12.1,1.08,6165.6,19.4,19.1,Msini,0.231,,,0,G8 III,4742,19,2.7,-0.35,[Fe/H],2.243,2.31,,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,2009-10-01T00:00:00Z,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0,516.21997,1.53,12.3,1.09,4684.8142,14.74,13.8,Msini,0.08,,,0,K4 III,4213,29.79,2.78,-0.02,[Fe/H],2.43,1.93,1.56,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,2008-12-01T01:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,185.84,0.83,12.9,1.15,1525.5,4.8,3.9,Msini,0,,,0,K0 III,4813,11,2.2,-0.24,[Fe/H],1.763,2.63,4.5,,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,2003-01-01T01:00:00Z,Ground,W. M. Keck Observatory,10 m Keck I Telescope,0,1773.40002,2.93,12.9,1.15,1481.0878,4.66,3.79,Msini,0.37,,,0,K0 V,5338,0.93,0.9,0.41,[Fe/H],-0.153,4.45,3.9,1.27393,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,1997-07-01T00:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,798.5,1.66,13.5,1.2,565.7374,1.78,1.26,Msini,0.68,,,0,G3 V,5750,1.13,1.08,0.06,[Fe/H],0.097,4.36,7.4,1.01103,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428
18 Del b,18 Del,2,1,Radial Velocity,2008,2008-06-01T00:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,993.3,2.6,12.5,1.11,3273.5,10.3,9.21,Msini,0.08,,,0,G6 III,4979,8.5,2.3,-0.052,[Fe/H],1.602,2.82,1.1,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,2008-12-01T01:00:00Z,Ground,Gemini Observatory,8.19 m Gemini North Telescope,0,,330,18.647,1.664,3000,8,2.54,Mass,,,1700,0,K7 V,4060,1.31,0.85,,,-0.37,4,0.005,0.38789,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,12.618,8.916,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,2018-08-01T00:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,30.3506,0.19,13.9,1.24,289.2253,0.91,0.592,Msini,0.042,,,0,G3 IV,4893,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,2011-01-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,452.8,1.333,13.4,1.19,632.46,1.99,1.44,Msini,0.09,,,0,K0 IV,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,2011-01-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,883,2.08,13.9,1.24,273.32,0.86,0.559,Msini,0.29,,,0,K0 IV,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
