pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
CoRoT-10 b,CoRoT-10,1,1,1,0,Transit,2010,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.1055,10.87,0.97,874,2.75,Mass,3.7,0.53,,600,88.55,0,31.33,0.1269,,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,K1 V,5075,0.79,0.89,0.26,[Fe/H],,4.65,3,3.32,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,15.293,11.782,14.6645,14/05/2014,2010-09,14/05/2014
CoRoT-11 b,CoRoT-11,1,1,1,0,Transit,2010,2010-12,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,0.0436,16.03,1.43,740.51,2.33,Mass,0.99,0,,1657,83.17,0,6.89,0.107,,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440,1.37,1.27,-0.03,[Fe/H],,4.22,2,0.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,12.897,11.248,12.841,14/05/2014,2010-12,14/05/2014
CoRoT-12 b,CoRoT-12,1,1,1,0,Transit,2010,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,2.828042,0.04016,16.14,1.44,291.438,0.917,Mass,0.411,0.07,,1442,85.48,0,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675,1.12,1.08,0.16,[Fe/H],,4.38,6.3,1.08,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,15.588,13.557,15.3453,14/05/2014,2010-09,14/05/2014
CoRoT-13 b,CoRoT-13,1,1,1,0,Transit,2010,2010-11,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519,0.051,9.92,0.885,415.704,1.308,Mass,2.34,0,,1700,88.02,0,10.81,0.0909,,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945,1.01,1.09,0.01,[Fe/H],,4.46,1.635,1.468,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,15.005,13.376,14.9147,14/05/2014,2010-11,14/05/2014
CoRoT-14 b,CoRoT-14,1,1,1,0,Transit,2010,2011-04,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,1.51214,0.027,12.22,1.09,2415.4,7.6,Mass,7.3,0,,1952,79.6,0,4.78,0.0925,,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,F9 V,6035,1.21,1.13,0.05,[Fe/H],,4.35,4.2,0.91,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,15.932,13.806,15.8116,14/05/2014,2011-04,14/05/2014
CoRoT-17 b,CoRoT-17,1,1,1,0,Transit,2011,2011-07,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,3.7681,0.0461,11.43,1.02,772.29,2.43,Mass,2.82,0,,1626,88.34,0,6.23,,,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,G2 V,5740,1.59,1.04,0,[Fe/H],,4.4,10.7,0.32,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,16.29,12.472,15.4368,14/05/2014,2011-07,14/05/2014
CoRoT-18 b,CoRoT-18,1,1,1,0,Transit,2011,2011-09,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.9000693,0.0295,14.68,1.31,1102.82,3.47,Mass,2.2,0.08,,1550,86.5,0,6.35,0.1341,,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440,1,0.95,-0.1,[Fe/H],,4.4,,1.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,14.868,13.014,14.8009,02/12/2019,2011-09,14/05/2014
CoRoT-19 b,CoRoT-19,1,1,1,0,Transit,2011,2012-01,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,3.89713,0.0518,14.46,1.29,352.78,1.11,Mass,0.71,0.047,,2000,88,0,6.7,0.0786,,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,F9 V,6090,1.65,1.21,-0.02,[Fe/H],0.544,4.07,5,0.38,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,14.135,11.837,13.7831,14/05/2014,2012-01,14/05/2014
CoRoT-22 b,CoRoT-22,1,1,1,0,Transit,2014,2014-08,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,9.75598,0.092,4.88,0.435,12.2,0.038,Mass,0.249,0.077,,885,89.749,0,17.3,0.03927,,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,G3 V,5939,1.14,1.1,0.17,[Fe/H],,4.36,3.3,1.027,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.158,13.82,11.988,13.7305,21/08/2014,2014-08,21/08/2014
CoRoT-23 b,CoRoT-23,1,1,1,0,Transit,2011,2012-01,Space,CoRoT,0.27 m CoRoT Telescope,Published Confirmed,0,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,3.6313,0.048,11.77,1.05,889.9,2.8,Mass,3,0.16,,1660,85.7,0,6.85,0.0671,,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,G0 V,5900,1.61,1.14,0.05,[Fe/H],,4.3,7.2,0.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.97,15.675,12.364,15.0681,14/05/2014,2012-01,14/05/2014
