pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,disc_instrument,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,2004-10,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,0.7365437,0.01544,2.08,0.186,7.81,0.02457,Mass,4.78,0.061000,,1958,0,0.1600,0.041000,1.5960000,3.517000,0.02020,,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,,5234.00,0.94,0.91,0.310,[Fe/H],,4.45,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300,2021-02-05,2011-09,2015-12-03
BD+20 594 b,BD+20 594,0,1,1,Transit,2016,2016-10,K2,0.95 m Kepler Telescope,Kepler CCD Array,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.241,2.23,0.199,16.3,0.05129,Mass,7.89,0.000000,,546,0,,,,55.800000,0.02204,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766.00,0.93,0.96,-0.150,[Fe/H],-0.056,4.50,3.340,1.7000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,10.8490000,9.3680000,10.8644000,2018-04-25,2016-10,2016-07-28
CoRoT-1 b,CoRoT-1,0,1,1,Transit,2008,2008-05,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,1.5089686,0.02536,17.385,1.551,327.3649,1.03000,Mass,0.344,,,1915,0,,,,4.823900,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,5950.00,1.13,0.95,-0.300,[Fe/H],,4.31,7.800,0.9300,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000,13.6230000,12.1490000,13.4570000,2016-01-12,2011-11,2016-01-14
CoRoT-1 b,CoRoT-1,0,1,1,Transit,2008,2008-05,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>,1.50897655,0.0259,15.917,1.420,340.0781,1.07000,Mass,0.44,0.071000,,1834,0,,,,,0.13810,,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>,,5950.00,,,-0.300,[Fe/H],,4.25,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000,13.6230000,12.1490000,13.4570000,2016-03-29,2016-06,2016-03-31
CoRoT-10 b,CoRoT-10,0,1,1,Transit,2010,2010-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,13.2406,0.106,10.548,0.941,883.5674,2.78000,Mass,4.16,,,647,0,,,,30.675000,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,5075.00,0.74,0.9,0.260,[Fe/H],,4.65,0.100,3.1000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000,15.2930000,11.7820000,14.6645000,2016-01-12,2011-11,2016-01-14
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,2010-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.1055,10.87,0.970,874,2.75000,Mass,3.7,0.530000,,600,0,0.8500,1.610360,2.9800000,31.330000,0.12690,,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],,4.65,3.000,3.3200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000,15.2930000,11.7820000,14.6645000,2014-05-14,2010-09,2014-05-14
CoRoT-11 b,CoRoT-11,0,1,1,Transit,2010,2010-12,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G/abstract target=ref>Gandolfi et al. 2012</a>,2.994325,0.04351,15.581,1.390,791.3967,2.49000,Mass,0.93,0.000000,,1715,0,0.8108,1.160000,2.4448800,7.062000,,,<a refstr=GANDOLFI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G/abstract target=ref>Gandolfi et al. 2012</a>,,,1.33,1.23,,,,,2.000,0.7400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,12.8970000,11.2480000,12.8410000,2019-10-18,2012-07,2019-10-24
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,2010-12,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,0.0436,16.03,1.430,740.51,2.33000,Mass,0.99,0.000000,,1657,0,0.8180,1.144900,2.5009000,6.890000,0.10700,,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],,4.22,2.000,0.6900,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,12.8970000,11.2480000,12.8410000,2014-05-14,2010-12,2014-05-14
CoRoT-11 b,CoRoT-11,0,1,1,Transit,2010,2010-12,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,2.99433,0.044,15.984,1.426,743.7222,2.34000,Mass,1.0,,,1735,0,,,,6.887100,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,6440.00,1.37,1.26,-0.030,[Fe/H],,4.26,2.000,0.6870,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,12.8970000,11.2480000,12.8410000,2016-01-12,2011-11,2016-01-14
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,2010-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,2.828042,0.04016,16.14,1.440,291.438,0.91700,Mass,0.411,0.070000,,1442,0,0.5730,1.744000,2.5742400,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675.00,1.12,1.08,0.160,[Fe/H],,4.38,6.300,1.0800,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,15.5880000,13.5570000,15.3453000,2014-05-14,2010-09,2014-05-14
