pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,0.231000,0.005000,-0.005000,0,,,,,,,,,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,[Fe/H],2.31,0.10,-0.10,0,93.1846000,1.9238000,-1.9238000
11 Com b,,,,,1.210000,0.060000,-0.050000,0,,,,,,,,,5434.70000,540.30000,-413.20000,0,17.10000,1.70000,-1.30000,0,Msini,,,,,,,,,,,,,,,,,,,,,,2.60,0.40,-0.30,0,,,,,,,,,,93.1846000,1.9238000,-1.9238000
11 UMi b,,,,,1.510000,0.060000,-0.050000,0,,,,,,,,,3432.40000,381.40000,-413.20000,0,10.80000,1.20000,-1.30000,0,Msini,,,,,,,,,,,,,,,,,,,,,,1.70,0.40,-0.30,0,,,,,,,,,,125.3210000,1.9765000,-1.9765000
11 UMi b,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,,,,,,,,,3337.07000,785.01000,-785.01000,0,10.50000,2.47000,-2.47000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,K4 III,4340.00,70.00,-70.00,0,24.08,1.84,-1.84,0,1.80,0.25,-0.25,0,0.040,0.040,-0.040,0,[Fe/H],1.60,0.15,-0.15,0,125.3210000,1.9765000,-1.9765000
11 UMi b,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],1.93,0.07,-0.07,0,125.3210000,1.9765000,-1.9765000
14 And b,,,,,0.680000,0.030000,-0.060000,0,,,,,,,,,1017.00000,127.10000,-190.70000,0,3.20000,0.40000,-0.60000,0,Msini,,,,,,,,,,,,,,,,,,,,,,1.20,0.40,-0.30,0,,,,,,,,,,75.4392000,0.7140000,-0.7140000
14 And b,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,1525.50000,,,0,4.80000,,,0,Msini,0.000000,,,0,,,,,,,,,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,[Fe/H],2.63,0.07,-0.07,0,75.4392000,0.7140000,-0.7140000
14 Her b,1766.00000000,,,0,2.864000,,,0,,,,,,,,,1581.13800,,,0,4.97500,,,0,Msini,0.359000,,,0,,,,,,,,,,5280.00,163.21,-128.17,0,1.00,0.05,-0.08,0,0.91,0.14,-0.09,0,0.400,0.100,-0.100,0,[M/H],4.40,0.09,-0.09,0,17.9323000,0.0073000,-0.0073000
14 Her b,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,,,,,,,,,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,Msini,0.370000,0.000000,0.000000,0,,,,,,,,,,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,0.410,,,0,[Fe/H],4.45,0.02,-0.02,0,17.9323000,0.0073000,-0.0073000
14 Her b,1796.40000000,8.30000000,-8.30000000,0,2.800000,,,0,,,,,,,,,1506.45000,19.07000,-19.07000,0,4.74000,0.06000,-0.06000,0,Msini,0.338000,0.011000,-0.011000,0,,,,,,,,,,5255.00,50.00,-50.00,0,,,,,0.90,,,0,0.510,0.060,-0.060,0,[Fe/H],4.40,0.15,-0.15,0,17.9323000,0.0073000,-0.0073000
