hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
TRAPPIST-1,M,2559,0.12,0.08,0.04,-3.281,5.28,0.5,71.5,,17.02,15.6451,V
Kepler-1582,M,3208,0.3,0.28,0.48,-2.389,4.93,7.76,26.12704,,17.96,16.4142,V
Kepler-1649,M,3240,0.23,0.2,-0.15,-2.287,5,,22.91997,,17.95,16.2682,V
K2-320,M,3157,0.3,0.12,,-2.125,4.55,,16.90184,19.667,17.81,16.3554,V
EPIC 206215704,M,3467,0.37,0.41,,-2.088,4.99,,19.87982,19.015,17.83,16.1722,V
K2-325,M,3287,0.3,0.27,,-2.048,4.84,,14.63907,19.365,17.77,16.137,V
EPIC 201170410,M,3648,0.28,0.29,-0.048,-1.9,5,,,19.456,17.6984,16.4386,V
Kepler-1314,M,4188,0.59,0.6,-0.22,-1.891,4.68,6.03,18.53414,18.833,17.816,17.1206,V
K2-317,M,3387,0.38,0.4,,-1.871,4.88,,11.58286,19.308,17.74,16.6387,V
Kepler-1650,M,3410,0.33,0.33,-0.11,-1.871,4.86,13.9,8.73,18.847,17.07,15.7393,V
K2-91,M,3622,0.28,0.29,,-1.841,5,,10.36688,17.085,15.622,14.3219,V
K2-72,M,3360.47,0.33,0.27,,-1.837,4.9,,12.2977,16.783,15.37,14.2789,V
K2-316,M,3436,0.38,0.41,,-1.83,4.89,,10.82654,18.545,17.14,15.514,V
K2-129,M,3459.09,0.36,0.36,,-1.828,4.87,,10.66281,15.182,13.639,12.4624,V
K2-242,M,3459,0.37,0.38,-0.01,-1.808,4.89,,10.34168,18.047,16.414,15.3818,V
Kepler-1646,M,3299,0.26,0.24,0.04,-1.78,5.01,4.68,9.78459,18.314,16.8419,15.6554,V
EPIC 206032309,M,3489,0.37,0.22,,-1.73,4.85,,9.77858,19.028,17.89,16.0689,V
Kepler-560,M,3556,0.33,0.34,-0.39,-1.717,4.94,4.07,8.38608,17.602,15.66,14.7511,V
Kepler-1512,M,4372,0.67,0.73,0.2,-1.695,4.64,1.78,6.76,14.79,13.451,13.2634,V
K2-124,M,3570,0.39,0.39,0.023,-1.659,4.86,,9.58,18.427,16.692,15.4618,V
