hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
WD 1856+534,M,4710,0.01,0.52,,,-4.12,7.92,7.93,,VII
TRAPPIST-1,M,2559,0.12,0.08,0.04,[Fe/H],-3.281,5.28,0.5,71.5,V
Kepler-1582,M,3208,0.3,0.28,0.48,[Fe/H],-2.389,4.93,7.76,26.12704,V
Kepler-1649,M,3240,0.23,0.2,-0.15,[M/H],-2.287,5,,22.91997,V
K2-320,M,3157,0.3,0.12,,,-2.125,4.55,,16.90184,V
EPIC 206215704,M,3467,0.37,0.41,,,-2.088,4.99,,19.87982,V
K2-325,M,3287,0.3,0.27,,,-2.048,4.84,,14.63907,V
EPIC 201170410,M,3648,0.28,0.29,-0.048,[Fe/H],-1.9,5,,,V
Kepler-1314,M,4188,0.59,0.6,-0.22,[Fe/H],-1.891,4.68,6.03,18.53414,V
Kepler-1650,M,3410,0.33,0.33,-0.11,[Fe/H],-1.871,4.86,13.9,8.73,V
K2-317,M,3387,0.38,0.4,,,-1.871,4.88,,11.58286,V
K2-91,M,3622,0.28,0.29,,,-1.841,5,,10.36688,V
K2-72,M,3360.47,0.33,0.27,,,-1.837,4.9,,12.2977,V
K2-316,M,3436,0.38,0.41,,,-1.83,4.89,,10.82654,V
K2-129,M,3459.09,0.36,0.36,,,-1.828,4.87,,10.66281,V
K2-242,M,3459,0.37,0.38,-0.01,[Fe/H],-1.808,4.89,,10.34168,V
Kepler-1646,M,3299,0.26,0.24,0.04,[Fe/H],-1.78,5.01,4.68,9.78459,V
EPIC 206032309,M,3489,0.37,0.22,,,-1.73,4.85,,9.77858,V
Kepler-560,M,3556,0.33,0.34,-0.39,[Fe/H],-1.717,4.94,4.07,8.38608,V
Kepler-1512,K,4372,0.67,0.73,0.2,[Fe/H],-1.695,4.64,1.78,6.76,V
K2-124,M,3570,0.39,0.39,0.023,[Fe/H],-1.659,4.86,,9.58,V
K2-125,M,3654.47,0.4,0.49,,,-1.641,4.83,,8.77693,V
Kepler-1652,M,3638,0.38,0.4,-0.3,[Fe/H],-1.638,4.88,3.2,7.05,V
Kepler-504,M,3519,0.33,0.33,-0.31,[Fe/H],-1.577,4.94,4.17,7.93023,V
DE CVn,M,3579,0.42,0.51,,,-1.574,4.8,,7.71066,V
K2-88,M,3537,0.26,0.26,,,-1.545,5.02,,7.18129,V
Kepler-1439,M,3578,0.43,0.46,-0.03,[Fe/H],-1.544,4.83,4.07,6.98546,V
Kepler-1229,M,3784,0.51,0.54,-0.06,[Fe/H],-1.533,4.75,3.72,4.35164,V
K2-71,M,4006,0.43,0.48,,,-1.519,4.85,,6.24198,V
EPIC 201238110,M,3587,0.37,0.41,,,-1.508,4.78,,6.73294,V
Kepler-1308,M,3468,0.34,0.35,-0.13,[Fe/H],-1.503,4.92,3.72,6.07171,V
Lupus-TR-3,K,5000,0.82,0.87,,,-1.464,4.96,,11.19938,V
Kepler-1319,M,3655,0.54,0.56,0.44,[Fe/H],-1.457,4.73,5.37,5.61277,V
Kepler-369,M,3591,0.47,0.5,-0.09,[Fe/H],-1.42,4.79,4.17,4.32691,V
K2-251,M,3717,0.49,0.52,-0.04,[Fe/H],-1.415,4.76,,5.7438,V
Kepler-705,M,3722,0.51,0.53,0.07,[Fe/H],-1.385,4.75,3.89,4.55841,V
K2-257,M,3725,0.5,0.52,-0.03,[Fe/H],-1.381,4.76,,5.56654,V
Kepler-732,M,3631,0.46,0.49,-0.01,[Fe/H],-1.375,4.79,4.47,5.14049,V
Kepler-1651,M,3713,0.5,0.52,-0.16,[Fe/H],-1.368,4.84,,4.1,V
Kepler-438,M,3748,0.52,0.54,0.16,[Fe/H],-1.357,4.74,4.4,5.52,V
K2-69,M,4127,0.49,0.55,,,-1.356,4.79,,5.05142,V
Kepler-974,M,3687,0.5,0.52,0.07,[Fe/H],-1.354,4.76,4.37,4.8384,V
K2-323,M,3710,0.55,0.48,,,-1.339,4.63,,4.86477,V
K2-324,M,3752,0.51,0.52,,,-1.333,4.74,,5.31375,V
Kepler-568,M,3768,0.53,0.55,0.11,[Fe/H],-1.33,4.73,5.89,4.73516,V
Kepler-1628,M,3724,0.52,0.55,0.17,[Fe/H],-1.33,4.74,5.13,4.31349,V
K2-89,M,3691,0.32,0.35,,,-1.327,4.96,,4.89287,V
Kepler-1624,M,3636,0.47,0.5,0.06,[Fe/H],-1.323,4.78,4.47,4.32842,V
Kepler-1124,M,3658,0.34,0.35,-0.59,[Fe/H],-1.323,4.93,3.39,5.16342,V
Kepler-691,M,3715,0.5,0.53,0.04,[Fe/H],-1.305,4.76,3.98,4.37819,V
Kepler-737,M,3813,0.48,0.51,-0.24,[Fe/H],-1.301,4.77,3.89,5.23896,V
Kepler-1089,M,3753,0.49,0.52,-0.09,[Fe/H],-1.297,4.76,3.72,4.5352,V
Kepler-676,M,3701,0.49,0.51,-0.02,[Fe/H],-1.295,4.77,4.27,4.41969,V
K2-147,M,3672,0.55,0.58,0.19,[Fe/H],-1.292,4.72,,4.2353,V
Kepler-1350,M,3827,0.53,0.55,-0.06,[Fe/H],-1.283,4.74,4.57,4.9823,V
K2-318,M,3851,0.55,0.56,,,-1.277,4.7,,4.49344,V
K2-43,M,3840.6,0.54,0.57,,,-1.273,4.68,,4.39884,V
Kepler-327,M,3799,0.49,0.59,-0.2,[Fe/H],-1.26,4.76,3.02,3.77387,V
K2-321,M,3855,0.58,0.6,,,-1.254,4.68,,3.97279,V
Kepler-779,M,3804,0.44,0.46,-0.43,[Fe/H],-1.234,4.81,3.89,4.62877,V
Kepler-993,M,3843,0.54,0.57,0.03,[Fe/H],-1.229,4.72,3.89,4.12779,V
K2-83,M,3910,0.42,0.48,,,-1.204,4.86,,4.4018,V
