pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.1055,10.87,874,3.7,600,cluster6
0.0436,16.03,740.51,0.99,1657,cluster4
0.04016,16.14,291.438,0.411,1442,cluster7
0.051,9.92,415.704,2.34,1700,cluster6
0.027,12.22,2415.4,7.3,1952,cluster6
0.0461,11.43,772.29,2.82,1626,cluster6
0.0295,14.68,1102.82,2.2,1550,cluster6
0.0518,14.46,352.78,0.71,2000,cluster4
0.092,4.88,12.2,0.249,885,cluster2
0.048,11.77,889.9,3,1660,cluster6
0.056,3.7,5.7,0.9,1070,cluster2
0.098,5,28,1.3,850,cluster2
0.0578,12.11,85.81,0.15,1330,cluster7
0.0526,14.12,165.26,0.28,1600,cluster7
0.0476,11.287,3302.11,12.6,1500,cluster6
0.09,13.34,228.83,0.525,1074,cluster8
0.04947,15.558,148.42,0.217,1438,cluster7
0.0855,13.068,940.74,2.32,1017,cluster6
0.4021,11.949,266.9772,0.86,420,cluster3
0.071,6.389,47.6745,1.1,938,cluster8
0.07229,11.781,953.49,3.1,1401,cluster6
0.047,1.95,8.75,6.39,1616,cluster1
0.13,3.67,14.67,1.62,990,cluster2
0.22,3.94,10.18,0.91,752,cluster2
0.0153,1.13,1.66,6.3,529,cluster1
0.1915,2.61,22.7,7,422,cluster2
0.0355,4.57,13.9,0.8,594,cluster2
0.01589,1.264,1.86,5.03,773,cluster1
0.035,1.217,1.84,5.6,525,cluster1
0.01734,1.305,2.82,7,701,cluster1
0.05561,14.785,166.86075,0.282,1322,cluster7
0.0384,10.749,67.059,0.3192,963,cluster7
0.0413,14.448,1332.605,2.42,1626,cluster6
0.0559,11.153,62.61,0.25,852,cluster7
0.0466,12.689,92.802,0.25,1010,cluster7
0.0361,9.718,2302.899,13.78,970,cluster6
0.0466,12.722,180.84527,0.483,1182,cluster7
0.0434,13.585,198.953,0.44,1384,cluster7
0.03397,22.194,216.1244,0.108,1836,cluster7
0.0241,14.314,587.41341,1.175,1781,cluster4
0.0379,13.204,371.528,0.89,1271,cluster4
0.0523,9.247,84.857,0.59,1082,cluster8
0.0509,17.609,190.372,0.19,1752,cluster7
0.04438,14.28,213.255,0.403,1686,cluster7
0.0575,14.348,331.801,0.61,1428,cluster7
0.0443,14.359,210.395,0.39,1361,cluster7
0.0507,13.922,111.871,0.23,1108,cluster7
0.0452,15.984,283.492,0.38,1652,cluster7
0.0577,14.392,156.684,0.28,1458,cluster7
0.0453,14.437,429.0705,0.78,1862,cluster4
0.05069,14.493,98.20947,0.178,1192,cluster7
0.03694,11.31,259.98494,0.98,1218,cluster4
0.03159,14.773,471.65972,0.8,1778,cluster4
0.04117,10.581,241.5508,1.118,818,cluster4
0.04604,13.249,184.97706,0.435,1313,cluster7
0.03951,21.185,167.49641,0.096,1930,cluster7
0.04363,17.822,248.86089,0.242,1896,cluster7
0.06505,23.371,108.0622,0.052,1903,cluster7
0.02996,12.016,230.10892,0.727,1028,cluster4
0.06555,18.786,1137.8314,1.02,1930,cluster6
0.04739,20.961,2154.8874,1.54,2562,cluster6
0.05287,15.614,238.05467,0.342,1540,cluster7
0.0444,14.594,589.55,1.03,1359,cluster4
0.04491,10.862,167.17858,0.7,1407,cluster8
0.04057,13.585,172.58169,0.377,1244,cluster7
0.03815,11.646,340.39593,1.191,1276,cluster4
0.02712,12.386,689.6911,1.97,1505,cluster4
0.03744,14.572,1039.3041,1.86,1592,cluster6
0.1308,8.709,425.25654,3.5,814,cluster3
0.0174,14.897,629.14449,1.1169,2069,cluster4
0.023,13.092,427.463,1.05,1577,cluster4
0.05025,10.682,870.8542,3.89,858,cluster6
0.03397,20.849,467.2101,0.29,1654,cluster7
0.0238,15.637,718.2958,1.03,2166,cluster4
0.05163,14.123,194.82979,0.38,1277,cluster7
0.04735,19.616,206.5895,0.153,1918,cluster7
0.0611,16.814,168.4499,0.18,1659,cluster7
0.04131,13.384,213.58176,0.48,1253,cluster7
0.05475,14.022,207.54299,0.411,1212,cluster7
0.0485,15.48,340.382,0.51,1648,cluster7
0.04354,13.171,224.38798,0.543,1414,cluster7
0.0478,18.383,279.6904,0.243,1823,cluster7
0.04024,14,292.4036,0.58,1437,cluster7
0.03727,13.787,378.85336,0.79,1429,cluster4
0.03166,16.029,299.07803,0.4,1445,cluster7
0.03199,16.41,388.38826,0.484,2037,cluster7
0.04913,6.793,31.46517,0.55,1085,cluster8
0.05036,6.882,23.51942,0.403,1294,cluster8
0.06007,17.598,200.2329,0.202,1645,cluster7
0.0362,11.433,420.471,1.55,1315,cluster4
0.04997,17.71,505.3497,0.49,2101,cluster7
0.0583,14.908,3082.951,5.1,1710,cluster6
0.03689,15.693,597.5204,0.83,1856,cluster4
0.04944,13.227,82.95363,0.191,1003,cluster7
0.03649,11.96,177.9848,0.56,1161,cluster7
0.05511,14.415,222.481,0.41,1518,cluster7
0.05367,10.122,54.98459,0.28,1054,cluster7
0.04269,12.52,117.27927,0.331,853,cluster7
0.03769,8.967,77.23269,0.589,955,cluster8
0.04515,8.575,112.19399,0.986,835,cluster8
0.0542,10.223,75.323,0.39,1025,cluster7
0.04639,15.805,244.09344,0.34,1553,cluster7
0.02498,15.491,711.9392,1.06,1834,cluster4
0.04753,15.02,189.10885,0.303,1312,cluster7
0.03763,11.96,241.5508,0.77,1625,cluster4
0.05412,14.022,292.72143,0.587,1367,cluster7
0.06043,18.921,191.33366,0.155,1902,cluster7
0.03493,12.767,1000.21101,2.65,1413,cluster6
0.05798,12.274,327.3649,0.96,1721,cluster4
0.06112,12.621,256.17098,0.7,1128,cluster7
0.03623,11.187,101.38777,0.399,713,cluster7
0.04708,12.924,210.40346,0.537,1528,cluster7
0.07908,13.395,1080.622,2.47,1226,cluster6
0.04163,11.825,56.89157,0.076,1237,cluster7
0.04026,13.529,305.1168,0.67,1398,cluster4
0.06562,18.82,305.1168,0.245,1793,cluster7
0.04497,16.825,260.93843,0.3,1634,cluster7
0.04714,15.816,1694.0339,2.34,1998,cluster6
0.03032,18.887,460.8535,0.374,2193,cluster7
0.05071,13.809,410.0007,0.856,1741,cluster4
0.03211,10.593,183.38791,0.46,1296,cluster7
0.04012,6.311,38.1396,0.83,1084,cluster8
0.03632,15.513,4100.007,6.64,2730,cluster6
0.03745,11.478,117.5971,0.42,587,cluster7
0.066517,8.097,39.85588,0.411,739,cluster8
0.04667,9.785,43.86054,0.259,1324,cluster7
0.0907,2.44,12.6,4.7,1153,cluster2
0.1536,4.35,15.2,1.01,886,cluster2
0.035,2.05,4.55,2.9,1371,cluster1
0.0969,1.482,4.62,7.8,911,cluster1
0.1729,2.608,11.29,3.5,682,cluster2
0.1097,11.5,131.89945,0.477,1228,cluster8
0.0522,1.64,7.51,9.3,1001,cluster1
0.1268,2.39,8.11,3.23,642,cluster2
0.1334,3.55,19.7,2.39,769,cluster2
0.05208,17.318,323.23311,0.343,2132,cluster7
