pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.1053,3.41,11.56,1.58,1120,cluster8
0.1,2.02,5.3,3.5,415,cluster2
0.0521,15.805,851.7844,1.423,1624,cluster6
0.0785,1.53,2.96,4.54,1144,cluster1
0.0304,1.18,1.76,5.89,969,cluster1
0.01411,2.847,6.26125,1.49,547,cluster4
0.0157,0.89,0.64,4.99,1650,cluster1
0.1694,2.3,5.9,2.66,1171,cluster2
0.06,1.02,1.04,5.39,1142,cluster1
0.1053,3.32,11,1.65,849,cluster4
0.03876,1.602,4.74,6.34,1015,cluster1
0.22,2.79,8.2,2.07,498,cluster4
0.1564,1.44,2.67,4.91,684,cluster1
0.0516,1.56,3.05,4.41,1002,cluster1
0.2739,2.31,5.95,2.65,524,cluster2
0.0473,11.422,174.799,0.65,1019,cluster7
0.1027,2.35,6.12,2.59,638,cluster2
0.677,2.19,5.43,2.84,212,cluster8
0.0341,1.44,2.67,4.91,388,cluster1
0.056,1.31,2.27,5.55,1272,cluster1
0.05,1.19,1.81,5.9,1317,cluster1
0.0585,3.07,9.64,1.83,678,cluster4
0.0862,2.02,4.74,3.16,378,cluster2
0.0824,3.53,15.68,1.95,741,cluster8
0.2697,2.7,7.75,2.16,810,cluster4
0.0589,2.9,8.75,1.97,1810,cluster4
0.01411,2.847,6.26125,1.49,547,cluster4
0.1635,3.08,9.69,1.82,489,cluster4
0.056,1.46,2.73,4.82,1240,cluster1
0.03623,11.187,101.38777,0.399,713,cluster3
0.0539,8.41,53.4,0.493,1162,cluster3
0.1066,7.398,34.9613,0.471,1089,cluster3
0.0817,1.73,3.64,3.86,1093,cluster1
0.101,0.79,0.418,4.66,630,cluster1
0.7391,7.22,41.2,0.602,313,cluster8
0.18,3.9,11.3,1.02,524,cluster8
0.068,1.03,1.08,5.43,994,cluster1
0.0403,1.35,2.39,5.34,436,cluster1
0.0426,2.93,8.91,1.95,1221,cluster4
0.097,1.59,3.15,4.31,882,cluster1
0.1082,2.14,5.22,2.93,795,cluster2
0.1028,6.51,22.1,0.442,1378,cluster8
0.0165,1.19,1.81,5.9,1693,cluster1
0.05412,14.022,292.72143,0.587,1367,cluster7
0.1803,1.66,3.39,4.07,564,cluster1
0.0193,0.92,0.721,5.09,2124,cluster1
0.1089,2.18,5.39,2.86,678,cluster2
0.017,2.04,4.82,3.12,1361,cluster2
0.0825,5.59,26.7,0.84,968,cluster8
0.0914,1.55,3.02,4.46,946,cluster1
0.0406,19.504,448.1403,0.332,2200,cluster7
0.156,2,4.66,3.2,505,cluster2
0.134,2.47,6.66,2.43,797,cluster4
0.5594,3.3,10.9,1.67,318,cluster8
0.0399,2.49,6.76,2.41,980,cluster4
0.5135,8.86,71,0.56,412,cluster6
0.2495,2.76,8.05,2.1,493,cluster4
0.0745,2.52,6.9,2.37,938,cluster4
0.087,1.32,28.2,67.4,480,cluster5
0.0186,0.78,0.399,4.62,2078,cluster1
0.242,2.24,5.65,2.76,286,cluster2
0.071,2.57,7.13,2.31,753,cluster4
0.0514,1.21,1.92,5.96,1108,cluster1
0.03623,11.187,101.38777,0.399,713,cluster3
0.02677,14.874,750.39663,1.26,1733,cluster6
0.066,2.83,8.4,2.04,450,cluster4
0.0771,1.82,3.97,3.62,1453,cluster2
0.0964,2.42,9.9,3.6,858,cluster8
0.02712,12.386,689.6911,1.97,1505,cluster6
0.085,0.86,0.566,4.89,694,cluster1
0.0326,14.908,258.07796,0.42,790,cluster7
0.1239,3.02,9.38,1.87,918,cluster4
0.1225,1.2,1.87,5.95,879,cluster1
0.0469,2.67,7.61,2.2,1281,cluster4
0.0426,1.23,2.04,6.02,1033,cluster1
