pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.1134,13.9,263.9785,0.54,700,cluster1
0.01544,1.875,7.99,6.66,1958,cluster4
0.241,2.578,22.2481,7.89,546,cluster3
0.02752,16.7,327.35,0.38,1898,cluster1
0.1055,10.87,874,3.7,600,cluster1
0.0436,16.03,740.51,0.99,1657,cluster1
0.04016,16.14,291.438,0.411,1442,cluster1
0.051,9.92,415.704,2.34,1700,cluster1
0.0461,11.43,772.29,2.82,1626,cluster1
0.0518,14.46,352.78,0.71,2000,cluster1
0.092,4.88,12.2,0.249,885,cluster3
0.048,11.77,889.9,3,1660,cluster1
0.056,3.7,5.7,0.9,1070,cluster4
0.098,5,28,1.3,850,cluster3
0.0578,12.11,85.81,0.15,1330,cluster1
0.0526,14.12,165.26,0.28,1600,cluster1
0.09,13.34,228.83,0.525,1074,cluster1
0.04947,15.558,148.42,0.217,1438,cluster1
0.0855,13.068,940.74,2.32,1017,cluster1
0.017016,1.681,4.07661,6.61,1756,cluster4
0.063,6.39,69.92,1.6,870,cluster3
0.4021,11.949,266.9772,0.86,420,cluster1
0.071,6.389,47.6745,1.1,938,cluster3
0.1462,5.29,24.27,0.901,877,cluster3
0.0733,3.06,9.6,1.84,1239,cluster4
0.0422,1.65,3.35,4.1,1632,cluster4
0.0651,1.86,4.13,3.53,1314,cluster4
0.0664,14.3,138.89171,0.261,1000,cluster1
0.0662,1.41,2.58,5.06,854,cluster4
0.1493,5.76,27,0.65,817,cluster3
0.098,2.586,7.2,2.29,536,cluster4
0.28,2.69,7.7,2.17,316,cluster3
0.0134,1.82,7.72,8.5,2119,cluster4
0.1091,2.73,5.8,2,741,cluster4
0.07229,11.781,953.49,3.1,1401,cluster1
0.047,1.95,8.75,6.39,1616,cluster4
0.13,3.67,14.67,1.62,990,cluster3
0.22,3.94,10.18,0.91,752,cluster3
0.0385,2.025,4.76,3.15,456,cluster4
0.0153,1.13,1.66,6.3,529,cluster4
0.0476,1.43,2.64,4.96,300,cluster4
0.01411,2.847,6.26125,1.49,547,cluster4
0.00916,1.193,2.09,6.76,1089,cluster4
0.1915,2.61,22.7,7,422,cluster3
0.072,1.55,3.03,4.47,550,cluster4
0.0818,1.83,4,3.59,351,cluster4
0.141,3.19,10.27,1.74,391,cluster3
0.0355,4.57,13.9,0.8,594,cluster4
0.01589,1.264,1.86,5.03,773,cluster4
0.0876,2.63,7.41,2.24,329,cluster4
0.035,1.217,1.84,5.6,525,cluster4
0.061,1.66,3.4,4.08,401,cluster4
0.204,2.34,6.1,2.62,220,cluster3
0.0608,2.57,7.14,2.31,590,cluster4
0.0789,1.45,2.69,4.85,370,cluster4
0.2324,2.63,7.6,2.3,309,cluster3
0.0291,4.17,22.1,1.8,686,cluster4
0.01734,1.305,2.82,7,701,cluster4
0.029,1.53,2.96,4.54,829,cluster4
0.068,1.88,4.2,3.47,468,cluster4
0.12,2.67,7.6,2.19,352,cluster4
0.0188,1.577,4.91,6.93,1044,cluster4
0.03925,1.241,0.84,2.42,722,cluster4
0.05591,2.022,4.04,2.69,605,cluster4
0.039435,3.66,13.02,1.46,830,cluster4
0.091,2.46,6.624,2.45,379,cluster4
0.05561,14.785,166.86075,0.282,1322,cluster1
0.05254,4.36,26.69772,1.68,838,cluster4
0.0384,10.749,67.059,0.3192,963,cluster1
0.04383,14.258,270.462,0.362,1740,cluster1
0.0965,11.882,616.5902,1.96,904,cluster1
0.0882,11.769,184.3414,0.64,792,cluster1
0.0559,11.153,62.61,0.25,852,cluster1
0.0466,12.689,92.802,0.25,1010,cluster1
0.0414,12.89,785.0401,2.14,1463,cluster1
0.0232,12.218,425.8922,1.406,1951,cluster1
0.04651,14.572,238.3725,0.44,1637,cluster1
0.0466,12.722,180.84527,0.483,1182,cluster1
0.0479,7.062,22.2481,0.4,1001,cluster3
0.0434,13.585,198.953,0.44,1384,cluster1
0.0667,13.115,279.6904,0.79,1271,cluster1
0.03866,10.536,206.5895,0.855,1189,cluster1
0.0419,16.141,263.7989,0.309,1630,cluster1
0.061,12.218,721.4741,2.18,1450,cluster1
0.03397,22.194,216.1244,0.108,1836,cluster1
0.04995,20.737,292.4036,0.2,1782,cluster1
0.04978,14.93,335.62848,0.55,1581,cluster1
0.0241,14.314,587.41341,1.175,1781,cluster1
0.0379,13.204,371.528,0.89,1271,cluster1
0.0523,9.247,84.857,0.59,1082,cluster3
0.0509,17.609,190.372,0.19,1752,cluster1
0.04438,14.28,213.255,0.403,1686,cluster1
0.0608,17.038,152.5584,0.15,1770,cluster1
0.04258,22.978,378.2177,0.204,1941,cluster1
0.0575,14.348,331.801,0.61,1428,cluster1
0.0443,14.359,210.395,0.39,1361,cluster1
0.0507,13.922,111.871,0.23,1108,cluster1
0.0452,15.984,283.492,0.38,1652,cluster1
0.0577,14.392,156.684,0.28,1458,cluster1
0.04378,17.822,699.226,0.75,2131,cluster1
0.04073,13.563,311.4734,0.642,1539,cluster1
0.0453,14.437,429.0705,0.78,1862,cluster1
0.05069,14.493,98.20947,0.178,1192,cluster1
0.03694,11.31,259.98494,0.98,1218,cluster1
0.03159,14.773,471.65972,0.8,1778,cluster1
0.04117,10.581,241.5508,1.118,818,cluster1
0.04604,13.249,184.97706,0.435,1313,cluster1
0.0423,16.926,734.1873,0.75,1840,cluster1
0.0406,19.504,448.1403,0.332,2200,cluster1
0.05239,16.589,419.5356,0.558,1675,cluster1
0.03951,21.185,167.49641,0.096,1930,cluster1
0.04363,17.822,248.86089,0.242,1896,cluster1
0.06505,23.371,108.0622,0.052,1903,cluster1
0.02996,12.016,230.10892,0.727,1028,cluster1
0.04496,15.693,406.8224,0.568,1700,cluster1
0.05287,15.614,238.05467,0.342,1540,cluster1
0.0444,14.594,589.55,1.03,1359,cluster1
0.04491,10.862,167.17858,0.7,1407,cluster1
0.0507,18.03,263.7989,0.315,1596,cluster1
0.0441,7.76,759.6137,1.12,1446,cluster1
0.04057,13.585,172.58169,0.377,1244,cluster1
0.03815,11.646,340.39593,1.191,1276,cluster1
0.02712,12.386,689.6911,1.97,1505,cluster1
0.1308,8.709,425.25654,3.5,814,cluster1
0.0174,14.897,629.14449,1.1169,2069,cluster1
0.023,13.092,427.463,1.05,1577,cluster1
0.05025,10.682,870.8542,3.89,858,cluster1
0.03397,20.849,467.2101,0.29,1654,cluster1
0.0238,15.637,718.2958,1.03,2166,cluster1
0.05163,14.123,194.82979,0.38,1277,cluster1
0.04735,19.616,206.5895,0.153,1918,cluster1
0.0611,16.814,168.4499,0.18,1659,cluster1
0.04131,13.384,213.58176,0.48,1253,cluster1
0.05475,14.022,207.54299,0.411,1212,cluster1
